MLA Name,Age,Constituency,Gender,Party,Membership,Education,Start of term,End of Term,Attendance,Attendance -State average,No. of Questions Asked,Question -State Average,Number Of Debates,Debate State Average,Note,Term,State,Image
Nirmala Dileepsingh Bhuria,Info Not Available,Petlawad,Female,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Nirmala Dileepsingh Bhuria.jpg
Prahlad Singh Patel,Info Not Available,Narsingpur,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Prahlad Singh Patel.jpg
Pratima Bagri,Info Not Available,Raigaon,Female,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Pratima Bagri.jpg
Radha Ravindra Singh,Info Not Available,Chitrangi,Female,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Radha Ravindra Singh.jpg
Rakesh Shukla,Info Not Available,Mehgaon,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,11,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Rakesh Shukla.jpg
Rakesh Singh,Info Not Available,Jabalpur West,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Rakesh Singh.jpg
Sampatiya Uikey,Info Not Available,Mandla,Female,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Sampatiya Uikey.jpg
Uday Pratap Singh,Info Not Available,Gadarwara,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Uday Pratap Singh.jpg
Jagdish Devda,Info Not Available,Malhargarh,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,,,,,"This MLA has been a Deputy Chief Minister from 13 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills.  Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Jagdish Devda.jpg
Sandeep Shriprasad Jaiswal,Info Not Available,Murwara,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,32,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Sandeep Shriprasad Jaiswal.jpg
Keshav Desai,Info Not Available,Gohad,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,98,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Keshav Desai.jpg
Manju Rajendra Dadu,Info Not Available,Nepanagar,Female,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,15,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Manju Rajendra Dadu.jpg
Narendra Singh Kushwah,Info Not Available,Bhind,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,49,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Narendra Singh Kushwah.jpg
Hajarilal Dangi,Info Not Available,Khilchipur,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,4,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Hajarilal Dangi.jpg
Madhu Bhau Bhagat,Info Not Available,Paraswada,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,106,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Madhu Bhau Bhagat.jpg
Dabbu Siddharth Sukhlal Kushwaha,Info Not Available,Satna,Male,Indian National Congress,Elected,Graduate,2023-12-03,In Office,,,93,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Dabbu Siddharth Sukhlal Kushwaha.jpg
